Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
PECAM1,Platelet And Endothelial Cell Adhesion Molecule 1,Protein Coding,P16284,50,GC17M064319,11.92527294,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1
SERPINF1,Serpin Family F Member 1,Protein Coding,P36955,54,GC17P110885,11.85370636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF1
DLL4,Delta Like Canonical Notch Ligand 4,Protein Coding,Q9NR61,56,GC15P040929,11.63323593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL4
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,60,GC20P037344,11.49723911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
PGF,Placental Growth Factor,Protein Coding,P49763,53,GC14M074941,11.43707371,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF
COL18A1,Collagen Type XVIII Alpha 1 Chain,Protein Coding,P39060,55,GC21P045405,11.4316473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL18A1
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,63,GC07P055019,11.37194061,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,62,GC17M042313,11.22727013,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
CXCL12,C-X-C Motif Chemokine Ligand 12,Protein Coding,P48061,54,GC10M044370,10.98212051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12
ACVRL1,Activin A Receptor Like Type 1,Protein Coding,P37023,59,GC12P051906,10.8230648,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1
PDGFRB,Platelet Derived Growth Factor Receptor Beta,Protein Coding,P09619,62,GC05M150113,10.74370003,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB
CDH5,Cadherin 5,Protein Coding,P33151,55,GC16P066366,10.73836899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH5
ITGAV,Integrin Subunit Alpha V,Protein Coding,P06756,56,GC02P186589,10.73748589,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV
MEG3,Maternally Expressed 3,RNA Gene,,34,GC14P116735,10.67855358,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3
ANG,Angiogenin,Protein Coding,P03950,53,GC14P045735,10.65558624,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANG
ITGB3,Integrin Subunit Beta 3,Protein Coding,P05106,61,GC17P112532,10.63987446,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3
TGFB2,Transforming Growth Factor Beta 2,Protein Coding,P61812,60,GC01P218345,10.62831402,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2
TNF,Tumor Necrosis Factor,Protein Coding,P01375,61,GC06P134820,10.49346066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,P21802,64,GC10M121478,10.47185707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,P11362,63,GC08M038400,10.32310963,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1
TIMP2,TIMP Metallopeptidase Inhibitor 2,Protein Coding,P16035,50,GC17M078852,10.25893784,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2
ITGB1,Integrin Subunit Beta 1,Protein Coding,P05556,58,GC10M035774,10.16564274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1
PDGFB,Platelet Derived Growth Factor Subunit B,Protein Coding,P01127,60,GC22M077951,10.09402847,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB
VASH1,Vasohibin 1,Protein Coding,Q7L8A9,44,GC14P076761,9.979281425,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASH1
FGF1,Fibroblast Growth Factor 1,Protein Coding,P05230,56,GC05M142555,9.734870911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1
SCARNA5,Small Cajal Body-Specific RNA 5,RNA Gene,,23,GC02P233275,9.62443924,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5
VEGFD,Vascular Endothelial Growth Factor D,Protein Coding,O43915,49,GC0XM015345,9.611271858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFD
TIMP1,TIMP Metallopeptidase Inhibitor 1,Protein Coding,P01033,54,GC0XP057483,9.60049057,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1
HPSE,Heparanase,Protein Coding,Q9Y251,53,GC04M083292,9.578276634,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE
VEGFB,Vascular Endothelial Growth Factor B,Protein Coding,P49765,52,GC11P064234,9.52286911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFB
EPO,Erythropoietin,Protein Coding,P01588,52,GC07P100720,9.496889114,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO
CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,P13500,58,GC17P034255,9.41977787,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2
ETS1,"ETS Proto-Oncogene 1, Transcription Factor",Protein Coding,P14921,56,GC11M128458,9.261713982,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1
VWF,Von Willebrand Factor,Protein Coding,P04275,56,GC12M029229,9.260365486,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF
CTNNB1,Catenin Beta 1,Protein Coding,P35222,62,GC03P041194,9.252108574,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
NOTCH1,Notch Receptor 1,Protein Coding,P46531,61,GC09M138715,9.245426178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1
TGFBR1,Transforming Growth Factor Beta Receptor 1,Protein Coding,P36897,62,GC09P100712,9.211829185,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1
EPHB4,EPH Receptor B4,Protein Coding,P54760,62,GC07M105312,9.174075127,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB4
ISM1,Isthmin 1,Protein Coding,B1AKI9,41,GC20P013221,9.138254166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISM1
TP53,Tumor Protein P53,Protein Coding,P04637,62,GC17M007661,9.073075294,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
TIMP3,TIMP Metallopeptidase Inhibitor 3,Protein Coding,P35625,52,GC22P070427,9.055661201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP3
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,,34,GC11M001995,8.935741425,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
GDF2,Growth Differentiation Factor 2,Protein Coding,Q9UK05,53,GC10P047322,8.786969185,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF2
CD36,CD36 Molecule (CD36 Blood Group),Protein Coding,P16671,59,GC07P080369,8.757829666,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36
JAG1,Jagged Canonical Notch Ligand 1,Protein Coding,P78504,59,GC20M010637,8.513780594,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1
MIR21,MicroRNA 21,RNA Gene,,31,GC17P112757,8.498019218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,61,GC04P102501,8.461478233,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,58,GC16M044057,8.457946777,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
ITGA5,Integrin Subunit Alpha 5,Protein Coding,P08648,56,GC12M055919,8.385038376,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA5
CD34,CD34 Molecule,Protein Coding,P28906,54,GC01M207880,8.357566833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34
ARNT,Aryl Hydrocarbon Receptor Nuclear Translocator,Protein Coding,P27540,54,GC01M150809,8.353610992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNT
LINC01672,Long Intergenic Non-Protein Coding RNA 1672,RNA Gene,,19,GC01P020797,8.276611328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672
EFNB2,Ephrin B2,Protein Coding,P52799,52,GC13M106489,8.173600197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFNB2
EPHB2,EPH Receptor B2,Protein Coding,P29323,60,GC01P022710,8.151819229,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB2
F3,"Coagulation Factor III, Tissue Factor",Protein Coding,P13726,54,GC01M094873,8.129463196,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3
CCN1,Cellular Communication Network Factor 1,Protein Coding,O00622,49,GC01P085585,8.114895821,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1
CXCR4,C-X-C Motif Chemokine Receptor 4,Protein Coding,P61073,61,GC02M136114,8.02965641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4
EPAS1,Endothelial PAS Domain Protein 1,Protein Coding,Q99814,59,GC02P046293,8.011772156,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1
MMP14,Matrix Metallopeptidase 14,Protein Coding,P50281,59,GC14P045941,7.966657639,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14
KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P10721,62,GC04P054657,7.904899597,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT
PTK2,Protein Tyrosine Kinase 2,Protein Coding,Q05397,56,GC08M140657,7.867408752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2
IL1B,Interleukin 1 Beta,Protein Coding,P01584,56,GC02M112829,7.839837551,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
BAIAP2,BAR/IMD Domain Containing Adaptor Protein 2,Protein Coding,Q9UQB8,51,GC17P081035,7.814311504,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP2
EGF,Epidermal Growth Factor,Protein Coding,P01133,60,GC04P109912,7.777170658,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
JAK2,Janus Kinase 2,Protein Coding,O60674,62,GC09P004985,7.771462917,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2
TIE1,Tyrosine Kinase With Immunoglobulin Like And EGF Like Domains 1,Protein Coding,P35590,54,GC01P043300,7.716434956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIE1
EPHA2,EPH Receptor A2,Protein Coding,P29317,61,GC01M016124,7.701066971,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA2
TGFA,Transforming Growth Factor Alpha,Protein Coding,P01135,54,GC02M070447,7.620923519,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,P16234,62,GC04P054229,7.61258173,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,Q04206,60,GC11M065653,7.503684998,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,58,GC07P106865,7.471361637,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
SMAD4,SMAD Family Member 4,Protein Coding,Q13485,61,GC18P051028,7.421623707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4
VHL,Von Hippel-Lindau Tumor Suppressor,Protein Coding,P40337,56,GC03P021526,7.328827858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL
FN1,Fibronectin 1,Protein Coding,P02751,59,GC02M215360,7.261476517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,61,GC03P179148,7.261206627,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
TGFB3,Transforming Growth Factor Beta 3,Protein Coding,P10600,56,GC14M075958,7.221725941,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3
BMP6,Bone Morphogenetic Protein 6,Protein Coding,P22004,53,GC06P007726,7.221096039,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,61,GC22P035380,7.219458103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1
ANPEP,"Alanyl Aminopeptidase, Membrane",Protein Coding,P15144,58,GC15M089784,7.17448473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,P22607,63,GC04P003985,7.168379784,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3
PLAU,"Plasminogen Activator, Urokinase",Protein Coding,P00749,60,GC10P073909,7.15847683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene,,19,GC08P056323,7.141979218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3
PVT1,Pvt1 Oncogene,RNA Gene,,32,GC08P128109,7.038419724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,58,GC01M058780,7.025596619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
PRKCA,Protein Kinase C Alpha,Protein Coding,P17252,59,GC17P066302,7.016644001,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA
CCN2,Cellular Communication Network Factor 2,Protein Coding,P29279,54,GC06M131948,7.016633034,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2
SPP1,Secreted Phosphoprotein 1,Protein Coding,P10451,54,GC04P087975,6.980448723,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1
SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,59,GC07P101127,6.961087227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1
SETD2,"SET Domain Containing 2, Histone Lysine Methyltransferase",Protein Coding,Q9BYW2,56,GC03M047033,6.8843894,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2
NDP,Norrin Cystine Knot Growth Factor NDP,Protein Coding,Q00604,51,GC0XM043948,6.882832527,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP
NRP2,Neuropilin 2,Protein Coding,O60462,53,GC02P205681,6.821018219,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP2
NOS2,Nitric Oxide Synthase 2,Protein Coding,P35228,58,GC17M027756,6.804486275,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2
BDNF-AS,BDNF Antisense RNA,RNA Gene,,29,GC11P027466,6.794160843,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
ID1,Inhibitor Of DNA Binding 1,Protein Coding,P41134,50,GC20P031605,6.791235447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID1
TNC,Tenascin C,Protein Coding,P24821,58,GC09M115019,6.766432762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNC
PF4,Platelet Factor 4,Protein Coding,P02776,50,GC04M073980,6.757217884,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PF4
MIR126,MicroRNA 126,RNA Gene,,29,GC09P136670,6.733219624,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126
ACE,Angiotensin I Converting Enzyme,Protein Coding,P12821,60,GC17P063477,6.673345089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
AKT3,AKT Serine/Threonine Kinase 3,Protein Coding,Q9Y243,63,GC01M243488,6.655775547,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT3
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,61,GC10P109367,6.619504929,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
SMAD1,SMAD Family Member 1,Protein Coding,Q15797,53,GC04P145481,6.608284473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD1
ADM,Adrenomedullin,Protein Coding,P35318,54,GC11P011175,6.55082655,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,60,GC06P134977,6.549171448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
THBS2,Thrombospondin 2,Protein Coding,P35442,55,GC06M169215,6.532683372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS2
COL4A2,Collagen Type IV Alpha 2 Chain,Protein Coding,P08572,55,GC13P110305,6.50639534,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A2
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,63,GC07P116672,6.451905727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET
BAIAP3,BAI1 Associated Protein 3,Protein Coding,O94812,44,GC16P001333,6.406545639,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP3
HRG,Histidine Rich Glycoprotein,Protein Coding,P04196,52,GC03P186660,6.405965328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRG
VASH2,Vasohibin 2,Protein Coding,Q86V25,42,GC01P212950,6.38914156,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASH2
ECM1,Extracellular Matrix Protein 1,Protein Coding,Q16610,53,GC01P150508,6.37877655,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECM1
EGLN1,Egl-9 Family Hypoxia Inducible Factor 1,Protein Coding,Q9GZT9,58,GC01M231363,6.31306839,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN1
FZD4,Frizzled Class Receptor 4,Protein Coding,Q9ULV1,58,GC11M086945,6.312874794,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4
COL4A3,Collagen Type IV Alpha 3 Chain,Protein Coding,Q01955,54,GC02P227164,6.309436321,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A3
VTN,Vitronectin,Protein Coding,P04004,53,GC17M076385,6.294767857,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTN
RECK,Reversion Inducing Cysteine Rich Protein With Kazal Motifs,Protein Coding,O95980,50,GC09P036036,6.279683113,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECK
CEACAM1,CEA Cell Adhesion Molecule 1,Protein Coding,P13688,53,GC19M042507,6.196045876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM1
MMP7,Matrix Metallopeptidase 7,Protein Coding,P09237,56,GC11M126171,6.170110703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP7
ANGPT4,Angiopoietin 4,Protein Coding,Q9Y264,48,GC20M000869,6.149424553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT4
ADAMTS1,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1,Protein Coding,Q9UHI8,52,GC21M026835,6.125358105,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS1
MMRN2,Multimerin 2,Protein Coding,Q9H8L6,39,GC10M086935,6.062395573,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMRN2
CXCL10,C-X-C Motif Chemokine Ligand 10,Protein Coding,P02778,53,GC04M076021,6.061546326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10
MIR7-3HG,MIR7-3 Host Gene,RNA Gene,Q8N6C7,34,GC19P112015,6.053459644,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG
LEP,Leptin,Protein Coding,P41159,55,GC07P128241,6.008482456,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,63,GC17P039687,6.006052971,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
EPHA1,EPH Receptor A1,Protein Coding,P21709,55,GC07M143390,5.966225624,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA1
MMP3,Matrix Metallopeptidase 3,Protein Coding,P08254,59,GC11M102835,5.954946041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3
MMP1,Matrix Metallopeptidase 1,Protein Coding,P03956,59,GC11M126178,5.948407173,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,P05362,59,GC19P112296,5.930800915,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1
MMP13,Matrix Metallopeptidase 13,Protein Coding,P45452,59,GC11M102942,5.905062675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13
BMP4,Bone Morphogenetic Protein 4,Protein Coding,P12644,58,GC14M053949,5.862859726,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4
CD47,CD47 Molecule,Protein Coding,Q08722,53,GC03M108043,5.840960979,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD47
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,58,GC10P048306,5.835438251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
COL4A1,Collagen Type IV Alpha 1 Chain,Protein Coding,P02462,56,GC13M110148,5.826243401,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A1
RHOA,Ras Homolog Family Member A,Protein Coding,P61586,59,GC03M049359,5.825047493,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA
ANGPTL3,Angiopoietin Like 3,Protein Coding,Q9Y5C1,56,GC01P062597,5.801384926,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL3
SNHG6,Small Nucleolar RNA Host Gene 6,RNA Gene,,26,GC08M066921,5.760473251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG6
NOTCH3,Notch Receptor 3,Protein Coding,Q9UM47,60,GC19M015159,5.711079597,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH3
ROBO4,Roundabout Guidance Receptor 4,Protein Coding,Q8WZ75,52,GC11M124883,5.693924904,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO4
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,64,GC01M011106,5.656074524,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
SOD2,Superoxide Dismutase 2,Protein Coding,P04179,56,GC06M159669,5.630025864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2
TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,P37173,61,GC03P030623,5.622591019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,,32,GC11P089089,5.614711761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1
