Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
PARD6A,Par-6 Family Cell Polarity Regulator Alpha,Protein Coding,Q9NPB6,46,GC16P082863,16.24614525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD6A
RHOA,Ras Homolog Family Member A,Protein Coding,P61586,59,GC03M049359,16.12023544,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,59,GC17M043044,16.10017967,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1
HMGA2,High Mobility Group AT-Hook 2,Protein Coding,P52926,52,GC12P065824,15.8444519,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA2
IL6,Interleukin 6,Protein Coding,P05231,60,GC07P022725,15.8444252,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
WNT5A,Wnt Family Member 5A,Protein Coding,P41221,60,GC03M055465,15.8429327,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT5A
TP63,Tumor Protein P63,Protein Coding,Q9H3D4,55,GC03P189598,15.80775356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,61,GC08P127735,15.74974442,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
PIK3CD,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta",Protein Coding,O00329,61,GC01P039534,15.72119236,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,P46527,57,GC12P039206,15.64589214,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B
FAM3C,FAM3 Metabolism Regulating Signaling Molecule C,Protein Coding,Q92520,45,GC07M121373,15.59281063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM3C
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,60,GC02M177227,15.36279583,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
EGF,Epidermal Growth Factor,Protein Coding,P01133,60,GC04P109912,14.90817356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
BMP7,Bone Morphogenetic Protein 7,Protein Coding,P18075,55,GC20M057168,14.75918865,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,60,GC06P134977,14.71642113,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
YAP1,Yes1 Associated Transcriptional Regulator,Protein Coding,P46937,56,GC11P102110,14.66179085,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,61,GC04P102501,14.50431919,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
PDPN,Podoplanin,Protein Coding,Q86YL7,50,GC01P013583,14.46719265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPN
CCNA2,Cyclin A2,Protein Coding,P20248,53,GC04M121816,14.36321259,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2
LRRC56,Leucine Rich Repeat Containing 56,Protein Coding,Q8IYG6,45,GC11P010580,14.3094492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56
CREBBP,CREB Binding Protein,Protein Coding,Q92793,62,GC16M020489,14.28966904,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
ESR1,Estrogen Receptor 1,Protein Coding,P03372,62,GC06P151656,14.28140163,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,P21802,64,GC10M121478,14.25090504,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,58,GC16M044057,14.12777805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
TGFB3,Transforming Growth Factor Beta 3,Protein Coding,P10600,56,GC14M075958,14.08808422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,63,GC07P116672,14.02567101,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET
ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,61,GC11P108223,14.00499916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM
CD274,CD274 Molecule,Protein Coding,Q9NZQ7,54,GC09P005450,13.80941105,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274
ESRP1,Epithelial Splicing Regulatory Protein 1,Protein Coding,Q6NXG1,45,GC08P094641,13.74883938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP1
AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,P31751,62,GC19M040230,13.67396259,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2
DAB2IP,DAB2 Interacting Protein,Protein Coding,Q5VWQ8,48,GC09P124521,13.65040493,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2IP
TNF,Tumor Necrosis Factor,Protein Coding,P01375,61,GC06P134820,13.56676674,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
SMAD7,SMAD Family Member 7,Protein Coding,O15105,53,GC18M048919,13.55540276,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD7
FN1,Fibronectin 1,Protein Coding,P02751,59,GC02M215360,13.46208858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1
AURKA,Aurora Kinase A,Protein Coding,O14965,60,GC20M056370,13.45985222,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA
TJP1,Tight Junction Protein 1,Protein Coding,Q07157,54,GC15M029699,13.32070732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1
KRT7,Keratin 7,Protein Coding,P08729,51,GC12P052232,13.28317642,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7
S100A4,S100 Calcium Binding Protein A4,Protein Coding,P26447,53,GC01M153543,13.11108398,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A4
MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,62,GC12P068808,13.09482193,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
CCNE1,Cyclin E1,Protein Coding,P24864,57,GC19P029811,13.06594658,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1
TERT,Telomerase Reverse Transcriptase,Protein Coding,O14746,60,GC05M001253,12.83202457,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,P09486,58,GC05M151661,12.82494259,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC
E2F1,E2F Transcription Factor 1,Protein Coding,Q01094,53,GC20M033675,12.78381348,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1
ID1,Inhibitor Of DNA Binding 1,Protein Coding,P41134,50,GC20P031605,12.75718021,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID1
OVOL2,Ovo Like Zinc Finger 2,Protein Coding,Q9BRP0,43,GC20M017956,12.71594906,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVOL2
CCND2,Cyclin D2,Protein Coding,P30279,57,GC12P038923,12.70749092,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2
KLF4,KLF Transcription Factor 4,Protein Coding,O43474,55,GC09M107484,12.66979027,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4
BMP2,Bone Morphogenetic Protein 2,Protein Coding,P12643,55,GC20P006767,12.55071354,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
CDK4,Cyclin Dependent Kinase 4,Protein Coding,P11802,62,GC12M059354,12.54191303,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,P01111,59,GC01M114704,12.54013348,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS
NOTCH4,Notch Receptor 4,Protein Coding,Q99466,55,GC06M093816,12.50419044,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH4
PLK1,Polo Like Kinase 1,Protein Coding,P53350,60,GC16P081177,12.48843479,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK1
MMP14,Matrix Metallopeptidase 14,Protein Coding,P50281,59,GC14P045941,12.45184994,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14
PAK1,P21 (RAC1) Activated Kinase 1,Protein Coding,Q13153,60,GC11M125835,12.42668533,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK1
IL1B,Interleukin 1 Beta,Protein Coding,P01584,56,GC02M112829,12.41050529,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,58,GC10P067884,12.40552425,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
JAG1,Jagged Canonical Notch Ligand 1,Protein Coding,P78504,59,GC20M010637,12.39995003,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1
NOTCH2,Notch Receptor 2,Protein Coding,Q04721,59,GC01M119911,12.38775921,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2
BMP6,Bone Morphogenetic Protein 6,Protein Coding,P22004,53,GC06P007726,12.33477592,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
LATS2,Large Tumor Suppressor Kinase 2,Protein Coding,Q9NRM7,52,GC13M020973,12.1906414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS2
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,59,GC18M063123,12.18681812,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
WNT4,Wnt Family Member 4,Protein Coding,P56705,55,GC01M022190,12.1837244,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,58,GC01M058780,12.17599869,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
SP1,Sp1 Transcription Factor,Protein Coding,P08047,55,GC12P053380,12.17173195,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
PTK2,Protein Tyrosine Kinase 2,Protein Coding,Q05397,56,GC08M140657,12.15881824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2
CDK6,Cyclin Dependent Kinase 6,Protein Coding,Q00534,60,GC07M092604,12.09203911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6
WEE1,WEE1 G2 Checkpoint Kinase,Protein Coding,P30291,56,GC11P009573,12.08444881,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WEE1
KRT18,Keratin 18,Protein Coding,P05783,58,GC12P052948,12.06545734,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18
JUP,Junction Plakoglobin,Protein Coding,P14923,58,GC17M041754,11.95539093,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUP
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,57,GC06P043770,11.88894749,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
TWIST2,Twist Family BHLH Transcription Factor 2,Protein Coding,Q8WVJ9,51,GC02P238848,11.80183029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWIST2
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,O15392,55,GC17P078214,11.76624775,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5
PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,P12004,59,GC20M005114,11.74904728,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA
JAK2,Janus Kinase 2,Protein Coding,O60674,62,GC09P004985,11.73415184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2
MSH2,MutS Homolog 2,Protein Coding,P43246,57,GC02P047403,11.72875595,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2
NOTCH3,Notch Receptor 3,Protein Coding,Q9UM47,60,GC19M015159,11.68227863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH3
APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,P25054,58,GC05P112707,11.66671276,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC
U2AF1,U2 Small Nuclear RNA Auxiliary Factor 1,Protein Coding,Q01081,52,GC21M043092,11.6623106,https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF1
HDAC1,Histone Deacetylase 1,Protein Coding,Q13547,59,GC01P032292,11.6370697,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
BMP4,Bone Morphogenetic Protein 4,Protein Coding,P12644,58,GC14M053949,11.58388138,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4
XBP1,X-Box Binding Protein 1,Protein Coding,P17861,55,GC22M028794,11.57565117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XBP1
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,58,GC01M186671,11.50585651,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
BMI1,"BMI1 Proto-Oncogene, Polycomb Ring Finger",Protein Coding,P35226,52,GC10P022337,11.39066601,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMI1
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,58,GC10P048306,11.37302494,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
WNT3A,Wnt Family Member 3A,Protein Coding,P56704,55,GC01P231350,11.29923916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT3A
ITGB1,Integrin Subunit Beta 1,Protein Coding,P05556,58,GC10M035774,11.2922678,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1
CAV1,Caveolin 1,Protein Coding,Q03135,57,GC07P116524,11.26125813,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1
DNMT1,DNA Methyltransferase 1,Protein Coding,P26358,61,GC19M010133,11.26104546,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1
DAB2,DAB Adaptor Protein 2,Protein Coding,P98082,51,GC05M039371,11.25859356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2
AKT3,AKT Serine/Threonine Kinase 3,Protein Coding,Q9Y243,63,GC01M243488,11.07493305,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT3
FZD7,Frizzled Class Receptor 7,Protein Coding,O75084,53,GC02P203700,11.07192516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD7
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,Q04206,60,GC11M065653,11.06518078,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
GLI1,GLI Family Zinc Finger 1,Protein Coding,P08151,56,GC12P060672,11.03725243,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI1
ARID1A,AT-Rich Interaction Domain 1A,Protein Coding,O14497,54,GC01P026693,11.0098896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1A
AR,Androgen Receptor,Protein Coding,P10275,60,GC0XP067544,11.00264168,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,O75874,61,GC02M208236,10.94469738,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1
PPP2CA,Protein Phosphatase 2 Catalytic Subunit Alpha,Protein Coding,P67775,57,GC05M134194,10.93702126,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CA
CCND3,Cyclin D3,Protein Coding,P30281,55,GC06M041934,10.91038322,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND3
PIK3CB,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta",Protein Coding,P42338,56,GC03M138652,10.89264965,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB
MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,P15941,56,GC01M155185,10.79882717,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,53,GC04P073740,10.736866,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
WNT1,Wnt Family Member 1,Protein Coding,P04628,56,GC12P060231,10.69516754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1
FOXC2,Forkhead Box C2,Protein Coding,Q99958,53,GC16P094764,10.67077541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXC2
MKI67,Marker Of Proliferation Ki-67,Protein Coding,P46013,52,GC10M128096,10.66751289,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKI67
ITK,IL2 Inducible T Cell Kinase,Protein Coding,Q08881,60,GC05P157158,10.65999603,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITK
CCN2,Cellular Communication Network Factor 2,Protein Coding,P29279,54,GC06M131948,10.61647987,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2
SOX2,SRY-Box Transcription Factor 2,Protein Coding,P48431,55,GC03P181711,10.61423588,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,60,GC19P048954,10.56879997,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
BSG,Basigin (Ok Blood Group),Protein Coding,P35613,53,GC19P000571,10.56049633,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG
KRT20,Keratin 20,Protein Coding,P35900,49,GC17M040875,10.48017883,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT20
RXRA,Retinoid X Receptor Alpha,Protein Coding,P19793,57,GC09P134317,10.47638512,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA
WWTR1,WW Domain Containing Transcription Regulator 1,Protein Coding,Q9GZV5,46,GC03M149517,10.43888283,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWTR1
RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,58,GC07P011586,10.43871117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1
SDCBP,Syndecan Binding Protein,Protein Coding,O00560,50,GC08P058539,10.40594864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCBP
HGF,Hepatocyte Growth Factor,Protein Coding,P14210,60,GC07M081699,10.40009022,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF
